date,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
1/12/2021,227685,768150,207786,0.19,2.28,19472,2.08,7.69,,,,0.296,,
1/13/2021,291519,772150,259119,0.32,2.92,31937,2.59,7.73,63834,63834,6392,0.378,,
1/14/2021,327235,773650,286349,,3.28,,2.87,7.75,35716,49775,4984,0.423,,
1/15/2021,364182,773750,312415,0.49,3.65,48536,3.13,7.75,36947,45499,4556,0.471,,
1/16/2021,,,,,,,,,,41587,4164,,,
1/17/2021,,,,,,,,,,39240,3929,,,
1/18/2021,,,,,,,,,,37676,3773,,,
1/19/2021,483592,773750,417228,0.63,4.84,62780,4.18,7.75,,36558,3661,0.625,,
1/20/2021,508607,1031100,434402,0.71,5.09,70535,4.35,10.32,25015,31013,3105,0.493,,
1/21/2021,548844,1059275,463917,0.81,5.5,81014,4.65,10.61,40237,31658,3170,0.518,,
1/22/2021,595454,1094275,497958,0.93,5.96,92473,4.99,10.96,46610,33039,3308,0.544,,
1/23/2021,652661,1095675,536228,1.06,6.54,105890,5.37,10.97,57207,36947,3700,0.596,,
1/24/2021,695273,1095675,573167,1.11,6.96,111243,5.74,10.97,42612,38769,3882,0.635,,
1/25/2021,727437,1095675,599665,1.17,7.28,116840,6,10.97,32164,39100,3915,0.664,,
1/26/2021,742270,1289025,611090,1.2,7.43,119962,6.12,12.91,14833,36954,3700,0.576,,
1/27/2021,772031,1352100,629437,1.31,7.73,131282,6.3,13.54,29761,37632,3768,0.571,,
1/28/2021,814416,1359700,659118,1.44,8.15,143757,6.6,13.61,42385,37939,3799,0.599,,
1/29/2021,866663,1361500,695236,1.6,8.68,159723,6.96,13.63,52247,38744,3879,0.637,,
1/30/2021,922423,1362600,734903,1.75,9.24,175117,7.36,13.64,55760,38537,3859,0.677,,
1/31/2021,977030,1362600,772944,1.91,9.78,190777,7.74,13.64,54607,40251,4030,0.717,,
2/1/2021,1005544,1362600,794391,1.98,10.07,197770,7.95,13.64,28514,39730,3978,0.738,,
2/2/2021,1015483,1608250,801811,2.01,10.17,200265,8.03,16.1,9939,39030,3908,0.631,,
2/3/2021,1042268,1629000,814362,2.15,10.44,214234,8.15,16.31,26785,38605,3866,0.64,,
2/4/2021,1078808,1634000,835524,2.3,10.8,229373,8.37,16.36,36540,37770,3782,0.66,,
2/5/2021,1134175,1639575,866766,2.53,11.36,252963,8.68,16.42,55367,38216,3827,0.692,,
2/6/2021,1193181,1639575,896162,2.83,11.95,282345,8.97,16.42,59006,38680,3873,0.728,,
2/7/2021,1251940,1639575,924494,3.13,12.54,312240,9.26,16.42,58759,39273,3932,0.764,,
2/8/2021,1282375,1639575,938279,3.29,12.84,328801,9.4,16.42,30435,39547,3960,0.782,,
2/9/2021,1309883,1846625,950705,3.44,13.12,343580,9.52,18.49,27508,42057,4211,0.709,,
2/10/2021,1358924,1865325,971480,3.72,13.61,371358,9.73,18.68,49041,45237,4530,0.729,,
2/11/2021,1412047,1895500,997466,3.99,14.14,398177,9.99,18.98,53123,47606,4767,0.745,,
2/12/2021,1465627,1896800,1023114,4.26,14.68,425663,10.24,18.99,53580,47350,4741,0.773,,
2/13/2021,1537856,1919675,1061320,4.6,15.4,459336,10.63,19.22,72229,49239,4930,0.801,,
2/14/2021,1604973,1919975,1096479,4.92,16.07,490997,10.98,19.23,67117,50433,5050,0.836,,
2/15/2021,,,,,,,,,,49802,4987,,,
2/16/2021,1657007,2134425,1124024,5.16,16.59,515237,11.26,21.37,,49589,4965,0.776,,
2/17/2021,1680901,2146125,1136393,5.27,16.83,526520,11.38,21.49,23894,45997,4606,0.783,,
2/18/2021,1718790,2174800,1155117,5.46,17.21,545553,11.57,21.78,37889,43820,4388,0.79,,
2/19/2021,1833886,2270370,1223696,5.93,18.36,591771,12.25,22.73,115096,52608,5268,0.808,,
2/20/2021,1884038,2279240,1247602,6.19,18.87,617751,12.49,22.82,50152,49455,4952,0.827,,
2/21/2021,1933648,2279240,1267083,6.48,19.36,647617,12.69,22.82,49610,46954,4702,0.848,,
2/22/2021,1972201,2279240,1304589,6.82,19.75,681226,13.06,22.82,38553,48744,4881,0.865,,
2/23/2021,1985511,2448580,1310846,6.89,19.88,688417,13.13,24.52,13310,46929,4699,0.811,,
2/24/2021,2044496,2629540,1341342,7.17,20.47,716292,13.43,26.33,58985,51942,5201,0.778,,
2/25/2021,2103114,2672490,1364572,7.53,21.06,751675,13.66,26.76,58618,54903,5498,0.787,,
2/26/2021,2165950,2679290,1399281,7.81,21.69,780148,14.01,26.83,62836,47438,4750,0.808,,
2/27/2021,2245696,2704700,1444239,8.17,22.49,815724,14.46,27.08,79746,51665,5173,0.83,,
2/28/2021,2318415,2704700,1491316,8.44,23.21,842942,14.93,27.08,72719,54967,5504,0.857,,
3/1/2021,2357259,2704700,1514180,8.61,23.6,859526,15.16,27.08,38844,55008,5508,0.872,,
3/2/2021,2389534,3103600,1536958,8.71,23.93,870088,15.39,31.08,32275,57718,5779,0.77,,
3/3/2021,2423899,3148950,1562225,8.81,24.27,879863,15.64,31.53,34365,54200,5427,0.77,,
3/4/2021,2476796,3179160,1590980,9.06,24.8,904341,15.93,31.83,52897,53383,5345,0.779,,
3/5/2021,2555112,3290960,1644210,9.32,25.58,930381,16.46,32.95,78316,55595,5567,0.776,,
3/6/2021,2637353,3363430,1702571,9.57,26.41,955377,17.05,33.68,82241,55951,5602,0.784,,
3/7/2021,2716893,3363430,1758766,9.82,27.2,980255,17.61,33.68,79540,56925,5700,0.808,,
3/8/2021,2765577,3363430,1789580,10.04,27.69,1002567,17.92,33.68,48684,58331,5841,0.822,,
3/9/2021,2787289,3758740,1805357,10.11,27.91,1009603,18.08,37.64,21712,56822,5690,0.742,,
3/10/2021,2831319,3777560,1834706,10.27,28.35,1025697,18.37,37.83,44030,58203,5828,0.75,,
